,latitude,longitude,timestamp,value,measurement,retrieved_at
253,51.7,5.3,2025-07-19T03:00:00Z,17.1,t_2m:C,2025-07-20T16:38:17Z
254,51.7,5.3,2025-07-19T04:00:00Z,16.9,t_2m:C,2025-07-20T16:38:17Z
255,51.7,5.3,2025-07-19T05:00:00Z,17.6,t_2m:C,2025-07-20T16:38:17Z
256,51.7,5.3,2025-07-19T06:00:00Z,19.1,t_2m:C,2025-07-20T16:38:17Z
257,51.7,5.3,2025-07-19T07:00:00Z,21.5,t_2m:C,2025-07-20T16:38:17Z
258,51.7,5.3,2025-07-19T08:00:00Z,23.5,t_2m:C,2025-07-20T16:38:17Z
259,51.7,5.3,2025-07-19T09:00:00Z,25.1,t_2m:C,2025-07-20T16:38:17Z
260,51.7,5.3,2025-07-19T10:00:00Z,26.5,t_2m:C,2025-07-20T16:38:17Z
261,51.7,5.3,2025-07-19T11:00:00Z,28.2,t_2m:C,2025-07-20T16:38:17Z
262,51.7,5.3,2025-07-19T12:00:00Z,28.8,t_2m:C,2025-07-20T16:38:17Z
263,51.7,5.3,2025-07-19T13:00:00Z,29.5,t_2m:C,2025-07-20T16:38:17Z
264,51.7,5.3,2025-07-19T14:00:00Z,29.4,t_2m:C,2025-07-20T16:38:17Z
265,51.7,5.3,2025-07-19T15:00:00Z,30.7,t_2m:C,2025-07-20T16:38:17Z
266,51.7,5.3,2025-07-19T16:00:00Z,29.2,t_2m:C,2025-07-20T16:38:17Z
267,51.7,5.3,2025-07-19T17:00:00Z,27.3,t_2m:C,2025-07-20T16:38:17Z
268,51.7,5.3,2025-07-19T18:00:00Z,26.7,t_2m:C,2025-07-20T16:38:17Z
